tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
7.8,0.0535729,0.0506701,2.20287,0.0370036,-0.0135974,0.00722018,0.147936,0.15596
7.85,0.0518834,0.050465,2.20117,0.0371575,-0.0153053,0.00713627,0.143029,0.155283
7.9,0.0502234,0.0502624,2.19966,0.0372956,-0.0168119,0.0070544,0.138123,0.154581
7.95,0.0485999,0.050063,2.19838,0.0374157,-0.0180966,0.00697347,0.133214,0.153859
8,0.0470198,0.0498672,2.19732,0.0375163,-0.0191507,0.0068913,0.128309,0.15312
8.05,0.0454888,0.0496754,2.19649,0.0375971,-0.019982,0.00680572,0.123416,0.152369
8.1,0.0440123,0.0494875,2.19587,0.0376582,-0.0206054,0.00671516,0.118556,0.151613
8.15,0.0425948,0.0493033,2.19542,0.037701,-0.0210492,0.0066193,0.113753,0.150854
8.2,0.0412392,0.0491221,2.19513,0.0377282,-0.0213411,0.00651876,0.109028,0.150097
8.25,0.0399472,0.0489434,2.19495,0.0377426,-0.0215199,0.00641515,0.104408,0.149342
8.3,0.0387199,0.0487661,2.19485,0.0377483,-0.0216215,0.00631068,0.0999249,0.148592
8.35,0.0375564,0.0485895,2.19479,0.037749,-0.0216806,0.00620754,0.0955988,0.147845
8.4,0.0364542,0.0484126,2.19475,0.0377482,-0.0217268,0.00610805,0.0914471,0.147101
8.45,0.0354099,0.0482342,2.19469,0.0377492,-0.0217847,0.0060139,0.0874689,0.14636
8.5,0.034419,0.0480535,2.1946,0.0377542,-0.0218695,0.00592692,0.0836509,0.145622
8.55,0.0334757,0.0478698,2.19448,0.0377646,-0.0219912,0.00584909,0.0799809,0.144887
8.6,0.032574,0.0476823,2.19432,0.0377811,-0.0221542,0.00578252,0.0764401,0.144156
8.65,0.031707,0.0474907,2.19412,0.0378031,-0.0223571,0.00572927,0.072999,0.143431
8.7,0.0308682,0.0472946,2.19388,0.0378298,-0.0225936,0.00569119,0.0696428,0.142715
8.75,0.030051,0.0470943,2.19362,0.0378596,-0.0228492,0.0056698,0.0663605,0.142011
8.8,0.0292499,0.0468901,2.19336,0.0378909,-0.0231076,0.00566619,0.0631583,0.141322
8.85,0.0284591,0.0466827,2.19312,0.0379212,-0.0233536,0.00567962,0.060037,0.140654
8.9,0.0276736,0.0464728,2.1929,0.0379477,-0.0235732,0.00570734,0.0569932,0.140008
8.95,0.0268902,0.0462615,2.19272,0.0379678,-0.0237519,0.00574523,0.0540317,0.139388
9,0.0261069,0.0460503,2.19259,0.0379788,-0.0238777,0.00578771,0.0511551,0.138796
9.05,0.0253223,0.0458405,2.19253,0.0379785,-0.0239428,0.00582913,0.0483569,0.138234
9.1,0.024535,0.0456336,2.19253,0.0379654,-0.0239417,0.0058642,0.0456058,0.137705
9.15,0.0237448,0.0454316,2.1926,0.0379377,-0.023874,0.00588778,0.0428964,0.13721
9.2,0.0229522,0.045236,2.19273,0.0378941,-0.0237409,0.00589658,0.0402229,0.136751
9.25,0.0221578,0.0450487,2.19292,0.0378342,-0.0235487,0.00588923,0.0375986,0.13633
9.3,0.0213617,0.0448714,2.19317,0.0377585,-0.0233043,0.00586587,0.0350334,0.135948
9.35,0.0205633,0.0447059,2.19346,0.0376676,-0.0230102,0.00582858,0.0325417,0.135607
9.4,0.0197614,0.0445538,2.1938,0.0375633,-0.022674,0.00578149,0.0301451,0.135308
