tau,x
27.8,1.55679
27.85,1.72642
27.9,1.3101
27.95,1.28688
28,1.63788
28.05,1.54489
28.1,1.71314
28.15,1.48296
28.2,1.40448
28.25,1.20533
28.3,1.26298
28.35,1.83548
28.4,1.32208
28.45,0.997005
28.5,1.02021
28.55,0.740239
28.6,0.430702
28.65,0.509391
28.7,0.971495
28.75,1.11657
28.8,1.25908
28.85,1.16124
28.9,0.78982
28.95,1.25783
29,1.42931
29.05,1.8301
29.1,1.28881
29.15,0.448316
29.2,0.877955
29.25,0.49497
29.3,0.998914
29.35,0.836436
29.4,0.550123
29.45,0.639786
29.5,0.727203
29.55,0.793802
29.6,1.01938
29.65,1.45542
29.7,1.40263
29.75,1.90149
29.8,2.04216
29.85,1.80362
29.9,1.71473
29.95,1.79252
30,1.43954
30.05,0.796093
30.1,0.337772
30.15,0.481
30.2,0.481657
30.25,-0.114897
30.3,0.0820291
30.35,0.483241
30.4,0.255539
30.45,0.0214884
30.5,0.0529113
30.55,-0.0826231
30.6,-0.612447
30.65,-0.963304
30.7,-0.812814
30.75,-0.68936
30.8,-1.38035
30.85,-1.63837
30.9,-1.51044
30.95,-1.10104
31,-0.837508
31.05,-0.958017
31.1,-1.04308
31.15,-0.978422
31.2,-1.03987
31.25,-1.29958
31.3,-0.970967
31.35,-0.838328
31.4,-1.07309
31.45,-0.532996
31.5,-0.464445
31.55,-0.438012
31.6,-0.799205
31.65,-0.919673
31.7,-1.00406
31.75,-0.58607
31.8,-0.510743
31.85,-0.186261
31.9,-0.275791
31.95,-0.445974
32,-0.235032
32.05,-0.564361
32.1,-0.875321
32.15,-0.942126
32.2,-1.01657
32.25,-0.952037
32.3,-1.0994
32.35,-0.554909
32.4,-0.720568
32.45,-1.00922
32.5,-1.36382
32.55,-0.99835
32.6,-0.923507
32.65,-0.962134
32.7,-1.06444
32.75,-1.31819
32.8,-0.92635
32.85,-0.533722
32.9,-1.07357
32.95,-0.697656
33,-0.864575
33.05,-0.930047
33.1,-1.03919
33.15,-0.920299
33.2,-0.709842
33.25,-0.878749
33.3,-1.43905
33.35,-1.13038
33.4,-1.49118
33.45,-1.84764
33.5,-1.75295
33.55,-1.42947
33.6,-1.21474
33.65,-1.14732
33.7,-1.34644
33.75,-1.21926
33.8,-0.701779
33.85,-0.702471
33.9,-0.790086
33.95,-1.0037
34,-0.999798
34.05,-0.993918
34.1,-0.799475
34.15,-0.933928
34.2,-0.857297
34.25,-0.894513
34.3,-0.921985
34.35,-0.885537
34.4,-0.840594
34.45,-1.15775
34.5,-0.95582
34.55,-0.798782
34.6,-0.981899
34.65,-1.08835
34.7,-1.01892
34.75,-1.37424
34.8,-1.18753
34.85,-1.41007
34.9,-0.592397
34.95,-1.08417
35,-1.05508
35.05,-1.81873
35.1,-1.88909
35.15,-1.45101
35.2,-1.37982
35.25,-1.59939
35.3,-1.20451
35.35,-1.00766
35.4,-1.28051
35.45,-1.20374
35.5,-0.846813
35.55,-0.699529
35.6,-0.516067
35.65,-0.878006
35.7,-0.563789
35.75,-0.347494
35.8,-0.00214281
35.85,0.0574003
35.9,0.370521
35.95,0.0236597
36,0.284292
36.05,0.0546887
36.1,0.243569
36.15,0.30749
36.2,0.212668
36.25,0.219334
36.3,-0.265618
36.35,0.0851689
36.4,0.387687
36.45,0.279437
36.5,0.533837
36.55,0.335906
36.6,0.482504
36.65,0.0154505
36.7,0.567196
36.75,0.715835
36.8,0.503847
36.85,0.341253
36.9,0.307264
36.95,0.186972
37,0.448438
37.05,0.880973
37.1,0.831592
37.15,1.07406
37.2,1.78684
37.25,1.56664
37.3,1.62978
37.35,1.52309
37.4,1.61166
37.45,1.35672
37.5,1.34694
37.55,0.922216
37.6,1.12798
37.65,0.916319
37.7,1.10063
37.75,1.22787
37.8,1.53116
37.85,1.5698
37.9,2.1606
37.95,2.12294
38,1.745
38.05,1.41043
38.1,0.845638
38.15,1.01536
38.2,1.38376
38.25,1.39469
38.3,1.3068
38.35,1.59432
38.4,1.72368
38.45,1.73968
38.5,2.14035
38.55,1.901
38.6,2.03858
38.65,1.70338
38.7,1.37918
38.75,1.57476
38.8,1.10644
38.85,1.02605
38.9,1.21583
38.95,1.05493
39,1.19516
39.05,1.61836
39.1,1.2787
39.15,1.50917
39.2,1.12324
39.25,0.934582
39.3,0.8284
39.35,0.911923
39.4,1.11244
39.45,1.06825
39.5,1.06344
39.55,1.12892
39.6,0.321691
39.65,0.152536
39.7,0.163539
39.75,0.113685
39.8,-0.425068
39.85,-0.504726
39.9,-0.612434
39.95,-0.370222
