tau,xI,Vg
-0.36796,-1.08363,3.12557
-0.362954,-1.07568,3.02253
-0.357947,-1.06755,2.91803
-0.352941,-1.05925,2.81209
-0.347935,-1.05077,2.70474
-0.342929,-1.04211,2.59599
-0.337922,-1.03327,2.48588
-0.332916,-1.02424,2.37444
-0.32791,-1.01503,2.26169
-0.322904,-1.00562,2.14768
-0.317897,-0.996029,2.03244
-0.312891,-0.986241,1.91602
-0.307885,-0.976257,1.79847
-0.302879,-0.966077,1.67982
-0.297872,-0.955697,1.56014
-0.292866,-0.945117,1.43948
-0.28786,-0.934335,1.31789
-0.282854,-0.923349,1.19544
-0.277847,-0.912158,1.07219
-0.272841,-0.900761,0.948221
-0.267835,-0.889156,0.823593
-0.262829,-0.877343,0.698387
-0.257822,-0.865321,0.572681
-0.252816,-0.853088,0.446558
-0.24781,-0.840645,0.320104
-0.242804,-0.82799,0.193409
-0.237797,-0.815124,0.0665663
-0.232791,-0.802047,-0.060328
-0.227785,-0.788757,-0.187174
-0.222778,-0.775256,-0.31387
-0.217772,-0.761544,-0.440308
-0.212766,-0.747621,-0.566381
-0.20776,-0.733487,-0.691977
-0.202753,-0.719145,-0.81698
-0.197747,-0.704595,-0.941274
-0.192741,-0.689838,-1.06474
-0.187735,-0.674876,-1.18725
-0.182728,-0.65971,-1.30869
-0.177722,-0.644343,-1.42893
-0.172716,-0.628776,-1.54784
-0.16771,-0.613012,-1.6653
-0.162703,-0.597053,-1.78117
-0.157697,-0.580902,-1.89532
-0.152691,-0.564562,-2.00762
-0.147685,-0.548037,-2.11793
-0.142678,-0.531329,-2.22614
-0.137672,-0.514442,-2.3321
-0.132666,-0.497381,-2.43568
-0.12766,-0.480148,-2.53675
-0.122653,-0.46275,-2.63518
-0.117647,-0.445189,-2.73084
-0.112641,-0.427471,-2.82361
-0.107635,-0.409601,-2.91336
-0.102628,-0.391583,-2.99997
-0.097622,-0.373424,-3.08333
-0.0926158,-0.355129,-3.1633
-0.0876095,-0.336702,-3.23979
-0.0826033,-0.318152,-3.31268
-0.077597,-0.299482,-3.38186
-0.0725907,-0.280701,-3.44724
-0.0675845,-0.261813,-3.50872
-0.0625782,-0.242827,-3.56621
-0.057572,-0.223747,-3.61962
-0.0525657,-0.204582,-3.66888
-0.0475594,-0.185339,-3.7139
-0.0425532,-0.166024,-3.75462
-0.0375469,-0.146644,-3.79097
-0.0325407,-0.127208,-3.82291
-0.0275344,-0.107722,-3.85038
-0.0225282,-0.0881934,-3.87333
-0.0175219,-0.0686308,-3.89174
-0.0125156,-0.0490413,-3.90557
-0.00750939,-0.0294325,-3.9148
-0.00250313,-0.0098121,-3.91942
0.00250313,0.0098121,-3.91942
0.00750939,0.0294325,-3.9148
0.0125156,0.0490413,-3.90557
0.0175219,0.0686308,-3.89174
0.0225282,0.0881934,-3.87333
0.0275344,0.107722,-3.85038
0.0325407,0.127208,-3.82291
0.0375469,0.146644,-3.79097
0.0425532,0.166024,-3.75462
0.0475594,0.185339,-3.7139
0.0525657,0.204582,-3.66888
0.057572,0.223747,-3.61962
0.0625782,0.242827,-3.56621
0.0675845,0.261813,-3.50872
0.0725907,0.280701,-3.44724
0.077597,0.299482,-3.38186
0.0826033,0.318152,-3.31268
0.0876095,0.336702,-3.23979
0.0926158,0.355129,-3.1633
0.097622,0.373424,-3.08333
0.102628,0.391583,-2.99997
0.107635,0.409601,-2.91336
0.112641,0.427471,-2.82361
0.117647,0.445189,-2.73084
0.122653,0.46275,-2.63518
0.12766,0.480148,-2.53675
0.132666,0.497381,-2.43568
0.137672,0.514442,-2.3321
0.142678,0.531329,-2.22614
0.147685,0.548037,-2.11793
0.152691,0.564562,-2.00762
0.157697,0.580902,-1.89532
0.162703,0.597053,-1.78117
0.16771,0.613012,-1.6653
0.172716,0.628776,-1.54784
0.177722,0.644343,-1.42893
0.182728,0.65971,-1.30869
0.187735,0.674876,-1.18725
0.192741,0.689838,-1.06474
0.197747,0.704595,-0.941274
0.202753,0.719145,-0.81698
0.20776,0.733487,-0.691977
0.212766,0.747621,-0.566381
0.217772,0.761544,-0.440308
0.222778,0.775256,-0.31387
0.227785,0.788757,-0.187174
0.232791,0.802047,-0.060328
0.237797,0.815124,0.0665663
0.242804,0.82799,0.193409
0.24781,0.840645,0.320104
0.252816,0.853088,0.446558
0.257822,0.865321,0.572681
0.262829,0.877343,0.698387
0.267835,0.889156,0.823593
0.272841,0.900761,0.948221
0.277847,0.912158,1.07219
0.282854,0.923349,1.19544
0.28786,0.934335,1.31789
0.292866,0.945117,1.43948
0.297872,0.955697,1.56014
0.302879,0.966077,1.67982
0.307885,0.976257,1.79847
0.312891,0.986241,1.91602
0.317897,0.996029,2.03244
0.322904,1.00562,2.14768
0.32791,1.01503,2.26169
0.332916,1.02424,2.37444
0.337922,1.03327,2.48588
0.342929,1.04211,2.59599
0.347935,1.05077,2.70474
0.352941,1.05925,2.81209
0.357947,1.06755,2.91803
0.362954,1.07568,3.02253
0.36796,1.08363,3.12557
0.372966,1.09142,3.22713
0.377972,1.09903,3.3272
0.382979,1.10648,3.42576
0.387985,1.11376,3.52281
0.392991,1.12089,3.61833
0.397997,1.12785,3.71232
0.403004,1.13466,3.80478
0.40801,1.14132,3.8957
0.413016,1.14783,3.98507
0.418023,1.15419,4.07291
0.423029,1.1604,4.15921
0.428035,1.16647,4.24397
0.433041,1.17241,4.32721
0.438048,1.1782,4.40892
0.443054,1.18386,4.48911
0.44806,1.18938,4.5678
0.453066,1.19478,4.64499
0.458073,1.20005,4.72069
0.463079,1.20519,4.79491
0.468085,1.21021,4.86767
0.473091,1.21511,4.93898
0.478098,1.21989,5.00886
0.483104,1.22456,5.07731
0.48811,1.22912,5.14435
0.493116,1.23356,5.21001
0.498123,1.23789,5.27429
0.503129,1.24212,5.33722
0.508135,1.24625,5.3988
0.513141,1.25027,5.45907
0.518148,1.2542,5.51803
0.523154,1.25802,5.57571
0.52816,1.26175,5.63212
0.533166,1.26539,5.68729
0.538173,1.26894,5.74123
0.543179,1.2724,5.79396
0.548185,1.27577,5.8455
0.553191,1.27905,5.89587
0.558198,1.28226,5.94509
0.563204,1.28538,5.99319
0.56821,1.28842,6.04017
0.573217,1.29139,6.08607
0.578223,1.29428,6.13089
0.583229,1.29709,6.17467
0.588235,1.29983,6.21741
0.593242,1.30251,6.25914
0.598248,1.30511,6.29988
0.603254,1.30765,6.33965
0.60826,1.31012,6.37847
0.613267,1.31253,6.41635
0.618273,1.31487,6.45331
0.623279,1.31715,6.48938
0.628285,1.31938,6.52456
0.633292,1.32155,6.55889
0.638298,1.32366,6.59238
0.643304,1.32571,6.62504
0.64831,1.32771,6.65689
0.653317,1.32966,6.68795
0.658323,1.33156,6.71825
0.663329,1.3334,6.74778
0.668335,1.3352,6.77658
0.673342,1.33695,6.80465
0.678348,1.33866,6.83202
0.683354,1.34032,6.8587
0.68836,1.34193,6.8847
0.693367,1.34351,6.91005
0.698373,1.34504,6.93475
0.703379,1.34653,6.95882
0.708385,1.34798,6.98227
0.713392,1.34939,7.00513
0.718398,1.35076,7.0274
0.723404,1.3521,7.04909
0.728411,1.3534,7.07023
0.733417,1.35467,7.09082
0.738423,1.35591,7.11088
0.743429,1.35711,7.13042
0.748436,1.35827,7.14945
0.753442,1.35941,7.16799
0.758448,1.36052,7.18604
0.763454,1.36159,7.20363
0.768461,1.36264,7.22075
0.773467,1.36366,7.23742
0.778473,1.36465,7.25366
0.783479,1.36562,7.26947
0.788486,1.36656,7.28487
0.793492,1.36747,7.29986
0.798498,1.36836,7.31446
0.803504,1.36923,7.32866
0.808511,1.37007,7.3425
0.813517,1.37089,7.35597
0.818523,1.37168,7.36908
0.823529,1.37246,7.38184
0.828536,1.37321,7.39426
0.833542,1.37395,7.40636
0.838548,1.37466,7.41813
0.843554,1.37535,7.42959
0.848561,1.37603,7.44074
0.853567,1.37669,7.45159
0.858573,1.37733,7.46216
0.863579,1.37795,7.47244
0.868586,1.37855,7.48244
0.873592,1.37914,7.49218
0.878598,1.37971,7.50166
0.883605,1.38027,7.51088
0.888611,1.38081,7.51985
0.893617,1.38134,7.52859
0.898623,1.38185,7.53708
0.90363,1.38235,7.54535
0.908636,1.38284,7.5534
0.913642,1.38331,7.56123
0.918648,1.38377,7.56884
0.923655,1.38421,7.57626
0.928661,1.38465,7.58347
0.933667,1.38507,7.59048
0.938673,1.38548,7.59731
0.94368,1.38588,7.60395
0.948686,1.38627,7.61041
0.953692,1.38664,7.6167
0.958698,1.38701,7.62282
0.963705,1.38737,7.62877
0.968711,1.38772,7.63455
0.973717,1.38806,7.64019
0.978723,1.38838,7.64566
0.98373,1.3887,7.65099
0.988736,1.38902,7.65618
0.993742,1.38932,7.66122
0.998748,1.38961,7.66613
1.00375,1.3899,7.6709
1.00876,1.39018,7.67554
1.01377,1.39045,7.68006
1.01877,1.39071,7.68445
1.02378,1.39097,7.68872
1.02879,1.39122,7.69288
1.03379,1.39146,7.69692
1.0388,1.39169,7.70085
1.0438,1.39192,7.70468
1.04881,1.39214,7.7084
1.05382,1.39236,7.71202
1.05882,1.39257,7.71553
1.06383,1.39278,7.71896
1.06884,1.39298,7.72229
1.07384,1.39317,7.72553
1.07885,1.39336,7.72868
1.08385,1.39354,7.73174
1.08886,1.39372,7.73472
1.09387,1.39389,7.73762
1.09887,1.39406,7.74043
1.10388,1.39422,7.74318
1.10889,1.39438,7.74584
1.11389,1.39454,7.74843
1.1189,1.39469,7.75096
1.1239,1.39484,7.75341
1.12891,1.39498,7.75579
1.13392,1.39512,7.75811
1.13892,1.39525,7.76037
1.14393,1.39538,7.76256
1.14894,1.39551,7.7647
1.15394,1.39563,7.76677
1.15895,1.39575,7.76879
1.16395,1.39587,7.77075
1.16896,1.39599,7.77266
1.17397,1.3961,7.77452
1.17897,1.3962,7.77633
1.18398,1.39631,7.77808
1.18899,1.39641,7.77979
1.19399,1.39651,7.78145
1.199,1.39661,7.78306
1.20401,1.3967,7.78463
1.20901,1.39679,7.78616
1.21402,1.39688,7.78765
1.21902,1.39697,7.78909
1.22403,1.39705,7.79049
1.22904,1.39713,7.79186
1.23404,1.39721,7.79319
1.23905,1.39729,7.79448
1.24406,1.39736,7.79574
1.24906,1.39744,7.79696
1.25407,1.39751,7.79815
1.25907,1.39758,7.7993
1.26408,1.39764,7.80042
1.26909,1.39771,7.80152
1.27409,1.39777,7.80258
1.2791,1.39783,7.80361
1.28411,1.39789,7.80462
1.28911,1.39795,7.80559
1.29412,1.39801,7.80654
1.29912,1.39806,7.80747
1.30413,1.39812,7.80836
1.30914,1.39817,7.80924
1.31414,1.39822,7.81009
1.31915,1.39827,7.81091
1.32416,1.39832,7.81172
1.32916,1.39836,7.8125
1.33417,1.39841,7.81326
1.33917,1.39845,7.814
1.34418,1.39849,7.81471
1.34919,1.39854,7.81541
1.35419,1.39858,7.81609
1.3592,1.39862,7.81675
1.36421,1.39865,7.81739
1.36921,1.39869,7.81802
1.37422,1.39873,7.81862
1.37922,1.39876,7.81922
1.38423,1.3988,7.81979
1.38924,1.39883,7.82035
1.39424,1.39886,7.82089
1.39925,1.39889,7.82142
1.40426,1.39892,7.82193
1.40926,1.39895,7.82243
1.41427,1.39898,7.82292
1.41927,1.39901,7.82339
1.42428,1.39904,7.82385
1.42929,1.39906,7.82429
1.43429,1.39909,7.82473
1.4393,1.39912,7.82515
1.44431,1.39914,7.82556
1.44931,1.39916,7.82596
1.45432,1.39919,7.82635
1.45932,1.39921,7.82672
1.46433,1.39923,7.82709
1.46934,1.39925,7.82745
1.47434,1.39927,7.82779
1.47935,1.39929,7.82813
1.48436,1.39931,7.82846
1.48936,1.39933,7.82878
1.49437,1.39935,7.82909
1.49937,1.39937,7.82939
1.50438,1.39939,7.82968
1.50939,1.3994,7.82997
1.51439,1.39942,7.83025
1.5194,1.39944,7.83051
1.52441,1.39945,7.83078
1.52941,1.39947,7.83103
1.53442,1.39948,7.83128
1.53942,1.3995,7.83152
1.54443,1.39951,7.83176
1.54944,1.39952,7.83198
1.55444,1.39954,7.8322
1.55945,1.39955,7.83242
1.56446,1.39956,7.83263
1.56946,1.39957,7.83283
1.57447,1.39959,7.83303
1.57947,1.3996,7.83322
1.58448,1.39961,7.83341
1.58949,1.39962,7.83359
1.59449,1.39963,7.83377
1.5995,1.39964,7.83394
1.60451,1.39965,7.83411
1.60951,1.39966,7.83427
1.61452,1.39967,7.83443
1.61952,1.39968,7.83458
1.62453,1.39969,7.83473
1.62954,1.3997,7.83488
1.63454,1.3997,7.83502
1.63955,1.39971,7.83516
1.64456,1.39972,7.83529
1.64956,1.39973,7.83542
1.65457,1.39974,7.83555
1.65957,1.39974,7.83567
1.66458,1.39975,7.83579
1.66959,1.39976,7.83591
1.67459,1.39976,7.83602
1.6796,1.39977,7.83613
1.68461,1.39978,7.83624
1.68961,1.39978,7.83634
1.69462,1.39979,7.83644
1.69962,1.39979,7.83654
1.70463,1.3998,7.83664
1.70964,1.39981,7.83673
1.71464,1.39981,7.83682
1.71965,1.39982,7.83691
1.72466,1.39982,7.83699
1.72966,1.39983,7.83708
1.73467,1.39983,7.83716
1.73967,1.39984,7.83724
1.74468,1.39984,7.83731
1.74969,1.39984,7.83739
1.75469,1.39985,7.83746
1.7597,1.39985,7.83753
1.76471,1.39986,7.8376
1.76971,1.39986,7.83766
1.77472,1.39986,7.83773
1.77972,1.39987,7.83779
1.78473,1.39987,7.83785
1.78974,1.39988,7.83791
1.79474,1.39988,7.83797
1.79975,1.39988,7.83803
1.80476,1.39989,7.83808
1.80976,1.39989,7.83813
1.81477,1.39989,7.83819
1.81977,1.39989,7.83824
1.82478,1.3999,7.83828
1.82979,1.3999,7.83833
1.83479,1.3999,7.83838
1.8398,1.39991,7.83842
1.84481,1.39991,7.83847
1.84981,1.39991,7.83851
1.85482,1.39991,7.83855
1.85982,1.39992,7.83859
1.86483,1.39992,7.83863
1.86984,1.39992,7.83867
1.87484,1.39992,7.8387
1.87985,1.39992,7.83874
1.88486,1.39993,7.83877
1.88986,1.39993,7.83881
1.89487,1.39993,7.83884
1.89987,1.39993,7.83887
1.90488,1.39993,7.8389
1.90989,1.39994,7.83893
1.91489,1.39994,7.83896
1.9199,1.39994,7.83899
1.92491,1.39994,7.83902
1.92991,1.39994,7.83905
1.93492,1.39994,7.83907
1.93992,1.39995,7.8391
1.94493,1.39995,7.83912
1.94994,1.39995,7.83915
1.95494,1.39995,7.83917
1.95995,1.39995,7.8392
1.96496,1.39995,7.83922
1.96996,1.39995,7.83924
1.97497,1.39996,7.83926
1.97997,1.39996,7.83928
1.98498,1.39996,7.8393
1.98999,1.39996,7.83932
1.99499,1.39996,7.83934
2,1.39996,7.83936
