tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
7.8,0.00256615,0.0617895,3.63769,0.0461912,-0.0403894,0.0104501,-0.0145958,0.391074
7.85,0.0026771,0.06195,3.64099,0.0466895,-0.0370853,0.0103233,-0.00601531,0.392219
7.9,0.00264877,0.0621393,3.64242,0.0469345,-0.0356612,0.0104342,-0.0158858,0.392049
7.95,0.0027297,0.0624088,3.64105,0.0472288,-0.0370343,0.0105636,-0.0167456,0.393987
8,0.00309648,0.0627308,3.64022,0.0476292,-0.0378642,0.0109719,-0.0225933,0.398582
8.05,0.00385143,0.0630703,3.64405,0.0482219,-0.0340334,0.0116006,-0.00763776,0.40404
8.1,0.00463955,0.0634487,3.6459,0.0482665,-0.032179,0.0119292,0.00570621,0.409319
8.15,0.00522436,0.0638174,3.6443,0.0480989,-0.0337795,0.0117327,0.0226283,0.412705
8.2,0.00648355,0.064245,3.64364,0.0481979,-0.0344393,0.0111299,0.0555323,0.41482
8.25,0.00797837,0.0646874,3.64445,0.0480333,-0.0336312,0.0109874,0.0832646,0.415419
8.3,0.00961127,0.0651359,3.6455,0.0481535,-0.0325824,0.0112422,0.124118,0.416471
8.35,0.011131,0.0655451,3.64565,0.0483422,-0.0324326,0.0115624,0.124742,0.417412
8.4,0.0128604,0.0660265,3.64639,0.0485364,-0.0316884,0.0116199,0.113932,0.421402
8.45,0.0148363,0.0665121,3.64486,0.0484612,-0.0332147,0.011489,0.115737,0.423785
8.5,0.0169965,0.0670414,3.64271,0.0486442,-0.0353652,0.0113615,0.130089,0.426639
8.55,0.0191707,0.0676249,3.63999,0.0485486,-0.0380914,0.0116438,0.132632,0.430882
8.6,0.0216125,0.0681841,3.63638,0.0480921,-0.0416967,0.0119417,0.142165,0.43352
8.65,0.0237918,0.0687868,3.63527,0.0482555,-0.0428111,0.0120443,0.155044,0.436945
8.7,0.0263212,0.0694053,3.63704,0.0482449,-0.041042,0.0124775,0.181236,0.440571
8.75,0.0289899,0.0700585,3.64077,0.0485483,-0.0373129,0.0129411,0.198081,0.443739
8.8,0.0317134,0.0706683,3.64525,0.0488904,-0.0328316,0.0134162,0.227461,0.446614
8.85,0.0345929,0.071286,3.64647,0.0492233,-0.0316141,0.0138042,0.248217,0.450414
8.9,0.0375327,0.0718988,3.65115,0.0491777,-0.0269278,0.0139282,0.260865,0.456065
8.95,0.0401458,0.0724588,3.65087,0.048909,-0.0272086,0.0135905,0.270924,0.459425
9,0.042289,0.0730009,3.64855,0.0487392,-0.029532,0.0130675,0.275692,0.462752
9.05,0.044176,0.0735646,3.64648,0.0487256,-0.0316034,0.0127395,0.287749,0.467301
9.1,0.0463307,0.0741548,3.64373,0.0487936,-0.0343508,0.0120334,0.307633,0.471978
9.15,0.048006,0.0747115,3.63746,0.0489372,-0.0406241,0.0114616,0.313121,0.475258
9.2,0.0499578,0.0752312,3.63559,0.0487403,-0.0424853,0.0111289,0.309743,0.478573
9.25,0.0524508,0.075741,3.63606,0.0488711,-0.0420218,0.0112976,0.330439,0.48147
9.3,0.0549111,0.076226,3.63572,0.048896,-0.0423564,0.0109077,0.355232,0.484859
9.35,0.0575493,0.0767823,3.63875,0.0490005,-0.039326,0.0104944,0.379213,0.491465
9.4,0.0600246,0.077331,3.64082,0.049049,-0.0372562,0.0102029,0.409699,0.498943
9.45,0.0630656,0.0777813,3.64254,0.0492216,-0.0355437,0.0107412,0.44441,0.503796
9.5,0.0655095,0.0782171,3.64442,0.0492393,-0.033658,0.0110212,0.466743,0.507581
9.55,0.0675602,0.0786254,3.64678,0.0491547,-0.0312967,0.011103,0.467866,0.508496
9.6,0.0698298,0.0789963,3.64849,0.0491188,-0.029586,0.0118094,0.481261,0.510117
9.65,0.0715555,0.0793301,3.64783,0.0491152,-0.0302503,0.0126015,0.498961,0.510264
