tau,mean,std_err
15.55,0.00456985,0.0467349
15.6,0.00523871,0.0469216
15.65,0.00627613,0.0470556
15.7,0.0067149,0.0470716
15.75,0.00694947,0.0470492
15.8,0.00714982,0.0470731
15.85,0.00666335,0.0471649
15.9,0.00670026,0.0473607
15.95,0.00689744,0.0475702
16,0.00683524,0.0477439
16.05,0.00724453,0.047768
16.1,0.00837076,0.0477288
16.15,0.0101018,0.0476608
16.2,0.0116195,0.0477534
16.25,0.0131415,0.0479143
16.3,0.0150297,0.0480179
16.35,0.0168373,0.0481682
16.4,0.0183052,0.0482549
16.45,0.019318,0.0484296
16.5,0.0202622,0.0486394
16.55,0.0208091,0.0490211
16.6,0.0212569,0.0494782
16.65,0.022236,0.0499733
16.7,0.0231936,0.0504384
16.75,0.0247653,0.0508431
16.8,0.0267231,0.0511614
16.85,0.0282173,0.0514594
16.9,0.0296653,0.0517722
16.95,0.0304109,0.0520015
17,0.0314897,0.0523049
17.05,0.0323862,0.0527073
17.1,0.0333485,0.0531793
17.15,0.0343903,0.0536489
17.2,0.0354042,0.0541505
17.25,0.0359437,0.054545
17.3,0.0363404,0.0549266
17.35,0.0369695,0.0552867
17.4,0.0374072,0.0556975
17.45,0.038397,0.0561389
17.5,0.0392298,0.0565616
17.55,0.0403421,0.0569901
17.6,0.0416008,0.0573318
17.65,0.0436449,0.0576991
17.7,0.0440863,0.0580805
17.75,0.0443799,0.0584466
17.8,0.0453465,0.0588227
17.85,0.045846,0.059184
17.9,0.0459972,0.0595514
17.95,0.045859,0.0599173
18,0.0456769,0.0602591
18.05,0.0458892,0.060675
18.1,0.0470077,0.0611397
18.15,0.0475897,0.0615513
18.2,0.0478111,0.0619845
18.25,0.0476039,0.0623558
18.3,0.047344,0.0627102
18.35,0.0475656,0.0631762
18.4,0.0473921,0.0637295
18.45,0.0475675,0.0641766
18.5,0.0464605,0.0644998
18.55,0.0452206,0.0648959
18.6,0.0437303,0.0651144
18.65,0.0426248,0.0653913
18.7,0.0408434,0.0656137
18.75,0.0389392,0.0659551
18.8,0.0371536,0.0662353
18.85,0.0353897,0.0664575
18.9,0.0344063,0.0667139
18.95,0.0340549,0.0668963
19,0.0328885,0.0670157
19.05,0.0313247,0.0669472
19.1,0.030121,0.0669536
19.15,0.0298602,0.0669973
19.2,0.0296629,0.0669752
19.25,0.0294208,0.066993
19.3,0.0295301,0.067052
19.35,0.0294647,0.067202
19.4,0.0291257,0.0672527
19.45,0.0288178,0.0672167
19.5,0.0287451,0.0672199
19.55,0.0293525,0.067154
19.6,0.0293636,0.0671694
19.65,0.0290864,0.0672334
19.7,0.0291471,0.0672578
19.75,0.0291047,0.0672173
19.8,0.029077,0.0672377
19.85,0.0287788,0.0673577
19.9,0.0285915,0.0673244
19.95,0.02846,0.0672272
20,0.0287967,0.0671463
20.05,0.02846,0.0672272
20.1,0.0285915,0.0673244
20.15,0.0287788,0.0673577
20.2,0.029077,0.0672377
20.25,0.0291047,0.0672173
20.3,0.0291471,0.0672578
20.35,0.0290864,0.0672334
20.4,0.0293636,0.0671694
20.45,0.0293525,0.067154
20.5,0.0287451,0.0672199
20.55,0.0288178,0.0672167
20.6,0.0291257,0.0672527
20.65,0.0294647,0.067202
20.7,0.0295301,0.067052
20.75,0.0294208,0.066993
20.8,0.0296629,0.0669752
20.85,0.0298602,0.0669973
20.9,0.030121,0.0669536
20.95,0.0313247,0.0669472
21,0.0328885,0.0670157
21.05,0.0340549,0.0668963
21.1,0.0344063,0.0667139
21.15,0.0353897,0.0664575
21.2,0.0371536,0.0662353
21.25,0.0389392,0.0659551
21.3,0.0408434,0.0656137
21.35,0.0426248,0.0653913
21.4,0.0437303,0.0651144
21.45,0.0452206,0.0648959
21.5,0.0464605,0.0644998
21.55,0.0475675,0.0641766
21.6,0.0473921,0.0637295
21.65,0.0475656,0.0631762
21.7,0.047344,0.0627102
21.75,0.0476039,0.0623558
21.8,0.0478111,0.0619845
21.85,0.0475897,0.0615513
21.9,0.0470077,0.0611397
21.95,0.0458892,0.060675
22,0.0456769,0.0602591
22.05,0.045859,0.0599173
22.1,0.0459972,0.0595514
22.15,0.045846,0.059184
22.2,0.0453465,0.0588227
22.25,0.0443799,0.0584466
22.3,0.0440863,0.0580805
22.35,0.0436449,0.0576991
22.4,0.0416008,0.0573318
22.45,0.0403421,0.0569901
22.5,0.0392298,0.0565616
22.55,0.038397,0.0561389
22.6,0.0374072,0.0556975
22.65,0.0369695,0.0552867
22.7,0.0363404,0.0549266
22.75,0.0359437,0.054545
22.8,0.0354042,0.0541505
22.85,0.0343903,0.0536489
