source,trial,sep
mc,49,1.66528
mc,49,0.0948023
mc,49,1.14644
mc,49,2.68705
mc,49,1.9419
mc,49,7.46831
mc,50,5.71257
mc,50,2.6097
mc,50,0.131399
mc,50,0.0468911
mc,50,0.38841
mc,50,0.183253
mc,50,0.034419
mc,50,5.47796
mc,50,0.00377516
mc,50,0.976986
mc,50,2.45896
mc,50,0.0621675
mc,50,4.11724
mc,50,9.04438
mc,50,1.52994
mc,50,0.338126
mc,50,0.0636562
mc,50,6.82015
mc,51,0.110933
mc,51,0.084052
mc,51,0.113062
mc,51,0.0338861
mc,51,0.174667
mc,51,4.1719
mc,51,0.556731
mc,51,1.45011
mc,51,0.578067
mc,51,6.15893
mc,51,0.110338
mc,51,0.474216
mc,51,0.271161
mc,51,2.01927
mc,51,1.80076
mc,51,0.0185319
mc,51,0.13085
mc,51,0.238895
mc,51,1.88747
mc,51,0.350879
mc,51,4.56015
mc,51,0.0684426
mc,51,0.0594905
mc,51,0.328745
mc,51,0.0639619
mc,51,0.354894
mc,51,0.0922336
mc,51,4.07194
mc,51,3.0311
mc,51,0.378504
mc,51,0.350787
mc,51,0.339942
mc,51,0.0697534
mc,51,0.0110285
mc,51,0.722437
mc,51,4.76189
mc,52,0.645303
mc,52,0.869703
mc,52,0.223372
mc,52,0.104699
mc,52,0.0110708
mc,52,8.09706
mc,52,0.440033
mc,52,0.0317875
mc,52,0.0373643
mc,52,2.5284
mc,52,0.96551
mc,52,1.8417
mc,52,0.183934
mc,52,1.25031
mc,52,0.496202
mc,52,0.891628
mc,52,0.32313
mc,52,0.919321
mc,52,1.97327
mc,52,4.62769
mc,52,1.90526
mc,52,0.374893
mc,52,5.06643
mc,52,0.608038
mc,52,0.449758
mc,52,5.13413
mc,53,0.0797621
mc,53,3.22998
mc,53,1.97546
mc,53,0.532861
mc,53,4.85692
mc,53,12.4949
mc,53,4.48086
mc,53,12.3492
mc,54,3.57469
mc,54,0.136984
mc,54,16.2814
mc,54,0.510523
mc,54,0.0976008
mc,54,2.23373
mc,54,0.405034
mc,54,2.40957
mc,54,0.202949
mc,54,2.39082
mc,54,7.82666
mc,54,3.93009
mc,55,0.871588
mc,55,0.14044
mc,55,0.00675907
mc,55,1.62771
mc,55,3.08066
mc,55,0.324542
mc,55,4.58252
mc,55,3.01325
mc,55,5.00813
mc,55,0.301093
mc,55,1.59791
mc,55,0.0646534
mc,55,0.25588
mc,55,2.94155
mc,55,1.15402
mc,55,0.524509
mc,55,0.653721
mc,55,4.08914
mc,55,0.482976
mc,55,6.01193
mc,55,0.0757724
