tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
30.6,-0.0788187,0.107081,3.30701,0.00289215,-0.00588651,0.0028471,-0.293059,0.403201
30.65,-0.0787529,0.106237,3.30682,0.0028436,-0.00607698,0.00279678,-0.291203,0.400077
30.7,-0.078412,0.105333,3.3066,0.00278107,-0.00629571,0.00273236,-0.288267,0.39675
30.75,-0.0778254,0.104405,3.30636,0.00270829,-0.00653573,0.00265778,-0.284774,0.393341
30.8,-0.0771175,0.10345,3.30611,0.00262945,-0.00678809,0.00257746,-0.281084,0.389847
30.85,-0.0764742,0.102432,3.30586,0.00254885,-0.00704252,0.00249595,-0.278027,0.386126
30.9,-0.0758396,0.101419,3.30561,0.00247068,-0.00728823,0.00241765,-0.275214,0.382385
30.95,-0.075052,0.100387,3.30538,0.00239875,-0.00751462,0.00234655,-0.272275,0.378555
31,-0.0743073,0.099322,3.30519,0.00233626,-0.00771197,0.00228594,-0.269968,0.374583
31.05,-0.0734138,0.0982425,3.30503,0.00228546,-0.00787191,0.00223808,-0.267533,0.370534
31.1,-0.0723801,0.0971504,3.30491,0.00224741,-0.00798781,0.00220395,-0.264959,0.366417
31.15,-0.0712185,0.0960477,3.30484,0.00222193,-0.00805491,0.00218318,-0.262232,0.362248
31.2,-0.0697488,0.0949109,3.30483,0.00220772,-0.00807034,0.00217424,-0.258586,0.357944
31.25,-0.0681856,0.093767,3.30487,0.00220282,-0.00803292,0.0021749,-0.254763,0.353619
31.3,-0.0663535,0.0926426,3.30496,0.00220513,-0.00794297,0.00218287,-0.250005,0.349385
31.35,-0.0644703,0.0915147,3.3051,0.00221303,-0.00780206,0.00219637,-0.245068,0.345149
31.4,-0.0625581,0.0903859,3.30529,0.00222577,-0.00761289,0.00221455,-0.239954,0.340918
31.45,-0.0602467,0.0891903,3.30552,0.00224361,-0.00737921,0.0022376,-0.233161,0.336441
31.5,-0.0579482,0.0879988,3.30579,0.00226758,-0.00710597,0.00226651,-0.226197,0.33198
31.55,-0.0558765,0.0867785,3.3061,0.00229902,-0.00679945,0.00230258,-0.219816,0.327405
31.6,-0.0540465,0.0855651,3.30643,0.00233885,-0.00646746,0.00234671,-0.214024,0.322856
31.65,-0.0522734,0.0843659,3.30678,0.00238698,-0.0061195,0.00239877,-0.208093,0.31836
31.7,-0.0505649,0.0831839,3.30713,0.00244189,-0.00576658,0.00245723,-0.202073,0.313933
31.75,-0.0489252,0.082022,3.30748,0.00250065,-0.00542097,0.00251915,-0.196044,0.309594
31.8,-0.0473557,0.0808832,3.3078,0.00255927,-0.00509552,0.00258056,-0.190106,0.305358
31.85,-0.0458557,0.0797253,3.3081,0.00261326,-0.00480284,0.002637,-0.184357,0.30107
31.9,-0.0444247,0.0785974,3.30834,0.00265835,-0.00455431,0.00268425,-0.178891,0.296912
31.95,-0.0428662,0.0774986,3.30854,0.00269105,-0.00435908,0.00271885,-0.173009,0.292874
32,-0.0413764,0.0764129,3.30868,0.00270909,-0.00422329,0.00273857,-0.167478,0.288881
32.05,-0.040347,0.075359,3.30875,0.00271161,-0.00414953,0.0027426,-0.163765,0.284984
32.1,-0.0393896,0.074351,3.30876,0.00269922,-0.00413669,0.00273154,-0.160347,0.281213
32.15,-0.0388974,0.0733817,3.30872,0.00267377,-0.00418022,0.00270726,-0.158673,0.277529
32.2,-0.0384256,0.0723632,3.30863,0.00263801,-0.00427271,0.00267253,-0.156741,0.273656
32.25,-0.0382107,0.0714136,3.30849,0.00259517,-0.00440465,0.00263056,-0.155673,0.269983
32.3,-0.0380531,0.0705177,3.30833,0.00254841,-0.0045654,0.00258453,-0.154718,0.26646
32.35,-0.0379479,0.0696761,3.30815,0.00250047,-0.00474397,0.00253717,-0.153897,0.263106
32.4,-0.0378897,0.0688891,3.30797,0.00245338,-0.00492969,0.00249051,-0.153235,0.259951
32.45,-0.0380688,0.0681661,3.30779,0.00240853,-0.00511276,0.00244595,-0.153504,0.25706
32.5,-0.0382849,0.0674971,3.30761,0.00236694,-0.00528439,0.00240456,-0.153961,0.254417
32.55,-0.038338,0.0668648,3.30746,0.0023298,-0.00543697,0.0023675,-0.153834,0.251972
32.6,-0.0384212,0.0662586,3.30733,0.00229881,-0.00556409,0.00233649,-0.153835,0.249681
32.65,-0.038336,0.0656601,3.30724,0.00227647,-0.00566052,0.00231398,-0.153159,0.247476
32.7,-0.0384712,0.0651519,3.30718,0.00226587,-0.0057223,0.00230303,-0.153248,0.245653
32.75,-0.038629,0.064707,3.30715,0.00227016,-0.0057469,0.00230674,-0.153317,0.244081
32.8,-0.0388064,0.0643289,3.30717,0.00229169,-0.00573334,0.00232744,-0.153353,0.242754
32.85,-0.038999,0.0640211,3.30722,0.00233126,-0.00568233,0.00236592,-0.153363,0.241672
32.9,-0.0392022,0.0637865,3.3073,0.00238766,-0.00559628,0.00242101,-0.153375,0.24084
32.95,-0.0396062,0.0636461,3.30742,0.00245777,-0.00547918,0.00248966,-0.154167,0.240337
33,-0.0398142,0.0635473,3.30756,0.00253707,-0.00533632,0.00256741,-0.154261,0.239984
33.05,-0.040213,0.0635351,3.30772,0.00262046,-0.00517387,0.00264922,-0.155156,0.239953
33.1,-0.0404072,0.0636164,3.3079,0.00270291,-0.00499842,0.0027301,-0.155331,0.240279
33.15,-0.0405888,0.063778,3.30808,0.00278004,-0.0048165,0.00280571,-0.155495,0.24091
33.2,-0.0411462,0.064038,3.30826,0.00284846,-0.00463417,0.00287266,-0.157104,0.24192
33.25,-0.0416836,0.0643768,3.30844,0.00290585,-0.00445669,0.00292865,-0.158611,0.243219
33.3,-0.0421969,0.0647917,3.30861,0.00295093,-0.00428837,0.00297239,-0.16,0.244789
33.35,-0.0426188,0.0652472,3.30877,0.00298323,-0.00413252,0.00300343,-0.161252,0.246417
