tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
6.2,0.0830811,0.043578,-0.0316559,0.0122671,0.225923,0.189059
6.25,0.0804495,0.0435161,-0.0321204,0.011743,0.21531,0.190457
6.3,0.0778509,0.0435701,-0.0340607,0.0117121,0.199708,0.189748
6.35,0.0754743,0.0437182,-0.0351337,0.0114245,0.194635,0.192987
6.4,0.0732187,0.0437031,-0.0367105,0.0110539,0.189192,0.190282
6.45,0.0710187,0.043655,-0.0375605,0.0109854,0.18164,0.188186
6.5,0.0688776,0.0434899,-0.0358324,0.01137,0.164178,0.185691
6.55,0.0670232,0.0432561,-0.0354256,0.0115032,0.174318,0.181282
6.6,0.0650553,0.0430838,-0.0374501,0.011778,0.175979,0.179289
6.65,0.0622182,0.0429978,-0.0345951,0.0120238,0.15425,0.178236
6.7,0.060003,0.0429829,-0.0311192,0.0119425,0.146405,0.179124
6.75,0.058107,0.0430754,-0.0250049,0.012396,0.145221,0.18353
6.8,0.0566991,0.0430599,-0.0217007,0.0123306,0.152159,0.186116
6.85,0.055129,0.043068,-0.0195761,0.0127368,0.162624,0.186634
6.9,0.0524355,0.0431855,-0.0144749,0.0131815,0.156659,0.188237
6.95,0.0504096,0.0432491,-0.0110814,0.0134813,0.142567,0.189591
7,0.0489253,0.0432808,-0.00827812,0.013788,0.138719,0.191646
7.05,0.0471163,0.0432257,-0.0029834,0.0134967,0.13338,0.192386
7.1,0.0451714,0.0432319,0.00323359,0.0126848,0.134242,0.195329
7.15,0.0432838,0.0432285,0.00296607,0.0116884,0.136707,0.19608
7.2,0.0411729,0.0431931,0.000706528,0.0115031,0.112789,0.197023
7.25,0.0396091,0.0431203,-0.00321325,0.0116448,0.109056,0.195792
7.3,0.0372861,0.0429609,-0.0063334,0.0112751,0.0942482,0.192631
7.35,0.0349491,0.0428354,-0.00810425,0.0109307,0.075831,0.188608
7.4,0.0326367,0.0428489,-0.00853896,0.0100423,0.0610924,0.188037
7.45,0.0302896,0.0427826,-0.00873553,0.00964515,0.0478457,0.187637
7.5,0.0282212,0.0427685,-0.00784716,0.0097637,0.0353045,0.187926
7.55,0.0255061,0.0427636,-0.00881639,0.00981774,0.0333191,0.188183
7.6,0.023504,0.0426994,-0.0108067,0.00978347,0.0545305,0.187533
7.65,0.0221741,0.0426057,-0.0109028,0.0102475,0.0697739,0.186364
7.7,0.0206485,0.0424331,-0.0120586,0.0108132,0.0577535,0.185348
7.75,0.0189564,0.0423442,-0.0139373,0.0109456,0.0341266,0.185761
7.8,0.0178784,0.0423807,-0.0142583,0.0115545,0.0246349,0.186223
