tau,mean,std_err
17.65,-0.0859267,0.0550113
17.7,-0.0880717,0.0552651
17.75,-0.0902016,0.0555446
17.8,-0.0923086,0.0558469
17.85,-0.0943871,0.056169
17.9,-0.0964294,0.0565075
17.95,-0.0984287,0.0568591
18,-0.100377,0.0572204
18.05,-0.102269,0.0575881
18.1,-0.104096,0.0579591
18.15,-0.105854,0.0583306
18.2,-0.107536,0.0587001
18.25,-0.109137,0.0590653
18.3,-0.110651,0.0594245
18.35,-0.112075,0.0597762
18.4,-0.113405,0.0601193
18.45,-0.114638,0.0604528
18.5,-0.11577,0.0607764
18.55,-0.116799,0.0610898
18.6,-0.117724,0.061393
18.65,-0.118543,0.0616862
18.7,-0.119256,0.0619696
18.75,-0.119862,0.0622439
18.8,-0.12036,0.0625096
18.85,-0.120753,0.0627673
18.9,-0.121042,0.0630176
18.95,-0.121229,0.0632612
19,-0.121319,0.0634986
19.05,-0.121316,0.0637303
19.1,-0.121228,0.0639566
19.15,-0.12106,0.0641777
19.2,-0.120821,0.0643939
19.25,-0.12052,0.064605
19.3,-0.120168,0.0648107
19.35,-0.119775,0.0650106
19.4,-0.119351,0.0652039
19.45,-0.118909,0.0653897
19.5,-0.118459,0.0655668
19.55,-0.118012,0.065734
19.6,-0.11758,0.0658898
19.65,-0.117173,0.0660325
19.7,-0.116801,0.0661606
19.75,-0.116472,0.0662724
19.8,-0.116193,0.0663663
19.85,-0.115971,0.066441
19.9,-0.115808,0.0664951
19.95,-0.11571,0.066528
20,-0.115677,0.066539
20.05,-0.11571,0.066528
20.1,-0.115808,0.0664951
20.15,-0.115971,0.066441
20.2,-0.116193,0.0663663
20.25,-0.116472,0.0662724
20.3,-0.116801,0.0661606
20.35,-0.117173,0.0660325
20.4,-0.11758,0.0658898
20.45,-0.118012,0.065734
20.5,-0.118459,0.0655668
20.55,-0.118909,0.0653897
20.6,-0.119351,0.0652039
20.65,-0.119775,0.0650106
20.7,-0.120168,0.0648107
20.75,-0.12052,0.064605
20.8,-0.120821,0.0643939
20.85,-0.12106,0.0641777
20.9,-0.121228,0.0639566
20.95,-0.121316,0.0637303
21,-0.121319,0.0634986
21.05,-0.121229,0.0632612
21.1,-0.121042,0.0630176
21.15,-0.120753,0.0627673
21.2,-0.12036,0.0625096
21.25,-0.119862,0.0622439
21.3,-0.119256,0.0619696
21.35,-0.118543,0.0616862
21.4,-0.117724,0.061393
21.45,-0.116799,0.0610898
21.5,-0.11577,0.0607764
21.55,-0.114638,0.0604528
21.6,-0.113405,0.0601193
21.65,-0.112075,0.0597762
21.7,-0.110651,0.0594245
21.75,-0.109137,0.0590653
21.8,-0.107536,0.0587001
21.85,-0.105854,0.0583306
21.9,-0.104096,0.0579591
21.95,-0.102269,0.0575881
22,-0.100377,0.0572204
22.05,-0.0984287,0.0568591
22.1,-0.0964294,0.0565075
22.15,-0.0943871,0.056169
22.2,-0.0923086,0.0558469
22.25,-0.0902016,0.0555446
22.3,-0.0880717,0.0552651
22.35,-0.0859267,0.0550113
22.4,-0.0837731,0.0547855
22.45,-0.0816177,0.0545895
22.5,-0.0794666,0.0544246
22.55,-0.0773253,0.0542915
22.6,-0.0751998,0.0541902
22.65,-0.073095,0.0541201
22.7,-0.0710158,0.0540802
22.75,-0.0689655,0.0540687
22.8,-0.0669471,0.0540835
22.85,-0.0649626,0.0541222
22.9,-0.0630123,0.054182
22.95,-0.0610958,0.0542599
23,-0.0592113,0.0543531
23.05,-0.0573561,0.0544584
23.1,-0.0555269,0.0545731
23.15,-0.0537188,0.0546944
23.2,-0.0519267,0.0548197
23.25,-0.0501447,0.0549467
23.3,-0.0483678,0.0550733
23.35,-0.0465903,0.0551975
23.4,-0.0448072,0.0553178
23.45,-0.0430141,0.0554328
23.5,-0.0412082,0.0555411
23.55,-0.0393874,0.0556417
23.6,-0.0375511,0.0557338
23.65,-0.0357004,0.0558168
23.7,-0.0338377,0.0558901
23.75,-0.0319667,0.0559537
23.8,-0.0300921,0.0560073
23.85,-0.0282206,0.056051
