tau,C(tau)
24.85,-0.174083
24.9,-0.153422
24.95,-0.137669
25,-0.125407
25.05,-0.113539
25.1,-0.103168
25.15,-0.09216
25.2,-0.0774255
25.25,-0.0612017
25.3,-0.0507358
25.35,-0.0405031
25.4,-0.029975
25.45,-0.0180276
25.5,-0.00051866
25.55,0.0150093
25.6,0.0332446
25.65,0.0451834
25.7,0.0558276
25.75,0.062354
25.8,0.0706264
25.85,0.0769034
25.9,0.0885967
25.95,0.097843
26,0.107671
26.05,0.115058
26.1,0.122509
26.15,0.133157
26.2,0.145113
26.25,0.154886
26.3,0.163539
26.35,0.174474
26.4,0.186517
26.45,0.195943
26.5,0.207855
26.55,0.21489
26.6,0.222601
26.65,0.228486
26.7,0.237167
26.75,0.243023
26.8,0.252355
26.85,0.262617
26.9,0.276041
26.95,0.289661
27,0.299978
27.05,0.308714
27.1,0.320526
27.15,0.325091
27.2,0.328914
27.25,0.337183
27.3,0.338926
27.35,0.344096
27.4,0.347461
27.45,0.349186
27.5,0.356417
27.55,0.359975
27.6,0.370431
27.65,0.380488
27.7,0.393417
27.75,0.401453
27.8,0.407031
27.85,0.406698
27.9,0.40521
27.95,0.403816
28,0.400196
28.05,0.394763
28.1,0.391591
28.15,0.383088
28.2,0.379431
28.25,0.378446
28.3,0.37389
28.35,0.374076
28.4,0.373305
28.45,0.371458
28.5,0.371384
28.55,0.366366
28.6,0.363361
28.65,0.36174
28.7,0.35984
28.75,0.354793
28.8,0.352391
28.85,0.345763
28.9,0.336552
28.95,0.332556
29,0.327566
29.05,0.325046
29.1,0.318767
29.15,0.313737
29.2,0.30445
29.25,0.301128
29.3,0.290141
29.35,0.278961
29.4,0.263322
29.45,0.252951
29.5,0.238898
29.55,0.224193
29.6,0.212803
29.65,0.202122
29.7,0.190062
29.75,0.181652
29.8,0.175183
29.85,0.16906
29.9,0.160066
29.95,0.154366
30,0.146808
30.05,0.143983
30.1,0.135844
30.15,0.134833
30.2,0.128453
30.25,0.131043
30.3,0.133519
30.35,0.139725
30.4,0.145124
30.45,0.141484
30.5,0.133651
30.55,0.127713
30.6,0.121817
30.65,0.11667
30.7,0.110135
30.75,0.10675
30.8,0.103441
30.85,0.0997331
30.9,0.0939273
30.95,0.0919326
31,0.0888119
31.05,0.0848427
31.1,0.0763792
31.15,0.071379
31.2,0.0543776
31.25,0.0430654
31.3,0.0300619
31.35,0.0142721
31.4,0.000422906
31.45,-0.0205163
31.5,-0.0315961
31.55,-0.0451295
31.6,-0.05538
31.65,-0.0649835
31.7,-0.0714197
31.75,-0.0798409
31.8,-0.088372
31.85,-0.0969515
31.9,-0.114912
31.95,-0.130157
32,-0.148253
32.05,-0.163802
32.1,-0.178057
32.15,-0.191444
32.2,-0.202377
32.25,-0.210513
32.3,-0.218958
32.35,-0.228496
32.4,-0.230449
32.45,-0.237213
32.5,-0.240276
32.55,-0.24637
32.6,-0.254922
32.65,-0.263618
32.7,-0.274403
32.75,-0.287696
32.8,-0.298784
32.85,-0.306895
32.9,-0.322659
32.95,-0.332458
33,-0.34031
33.05,-0.345187
33.1,-0.351299
33.15,-0.363339
33.2,-0.374586
33.25,-0.391001
33.3,-0.40209
33.35,-0.417338
33.4,-0.433383
33.45,-0.452858
33.5,-0.467994
33.55,-0.482124
33.6,-0.494874
33.65,-0.50318
33.7,-0.508796
33.75,-0.511895
33.8,-0.511184
33.85,-0.512314
33.9,-0.516541
33.95,-0.520416
34,-0.524592
34.05,-0.524658
34.1,-0.524454
34.15,-0.523939
34.2,-0.519006
34.25,-0.51738
34.3,-0.513032
34.35,-0.512472
34.4,-0.504672
34.45,-0.502744
34.5,-0.501383
34.55,-0.498002
34.6,-0.496477
34.65,-0.500795
34.7,-0.507871
34.75,-0.510165
34.8,-0.516265
34.85,-0.516213
34.9,-0.51717
34.95,-0.516854
35,-0.515869
35.05,-0.511348
35.1,-0.50407
35.15,-0.494805
35.2,-0.485594
35.25,-0.480584
35.3,-0.478053
35.35,-0.475358
35.4,-0.471208
35.45,-0.46677
35.5,-0.460037
35.55,-0.450096
35.6,-0.439179
35.65,-0.42228
35.7,-0.408244
35.75,-0.38883
35.8,-0.375789
35.85,-0.360287
35.9,-0.349974
35.95,-0.335623
36,-0.326074
36.05,-0.317681
36.1,-0.306947
36.15,-0.300051
36.2,-0.295857
36.25,-0.289124
36.3,-0.27882
36.35,-0.267106
36.4,-0.252729
36.45,-0.233735
36.5,-0.219628
36.55,-0.205338
36.6,-0.19238
36.65,-0.180479
36.7,-0.172401
36.75,-0.160906
36.8,-0.151189
36.85,-0.141327
36.9,-0.137343
36.95,-0.123123
37,-0.11184
37.05,-0.101123
37.1,-0.0865926
37.15,-0.0711076
37.2,-0.0490273
37.25,-0.0320297
37.3,-0.0142548
37.35,0.00368914
37.4,0.0181462
37.45,0.0319426
37.5,0.0467971
37.55,0.0669735
37.6,0.0840218
37.65,0.103948
37.7,0.124032
37.75,0.149085
37.8,0.171275
37.85,0.194345
37.9,0.215257
37.95,0.236625
38,0.252574
38.05,0.266181
38.1,0.28729
38.15,0.306672
38.2,0.325832
38.25,0.343873
38.3,0.36754
